ID,GEOG,TOT_POP,WHITE,HISP,BLACK,ASIAN,OTHER,W_PERC,H_PERC,B_PERC,A_PERC,O_PERC
5,North Center,34942,26996,4378,713,1563,1292,0.772594585,0.125293343,0.020405243,0.044731269,0.036975559
29,North Lawndale,35423,796,2897,31112,83,535,0.022471276,0.081783022,0.87829941,0.00234311,0.015103182
13,North Park,18743,9642,3092,448,5121,440,0.514432055,0.164968255,0.023902257,0.273222003,0.023475431
10,Norwood Park,36164,29774,4225,169,1178,818,0.823304944,0.116828891,0.004673156,0.03257383,0.022619179
36,Oakland,6474,125,240,5949,124,36,0.019308001,0.037071362,0.918906395,0.019153537,0.005560704
76,O'Hare,13130,9664,1147,233,1423,662,0.736024372,0.087357197,0.017745621,0.108377761,0.050418888
15,Portage Park,64517,31774,27575,862,2946,1360,0.492490351,0.42740673,0.01336082,0.045662384,0.021079715
50,Pullman,6620,633,335,5474,43,135,0.095619335,0.05060423,0.826888218,0.006495468,0.020392749
54,Riverdale,7382,135,265,6926,26,30,0.018287727,0.035898131,0.938228122,0.003522081,0.004063939
1,Rogers Park,55500,23604,12383,14455,3205,1853,0.425297297,0.223117117,0.26045045,0.057747748,0.033387387
49,Roseland,42327,417,396,40798,169,547,0.009851868,0.00935573,0.963876485,0.003992723,0.012923193
46,South Chicago,27601,672,5810,20826,16,277,0.024346944,0.21049962,0.754537879,0.000579689,0.010035868
51,South Deering,14635,781,4139,9575,1,139,0.05336522,0.282815169,0.654253502,6.83E-05,0.009497779
30,South Lawndale,73983,2545,62126,8831,201,280,0.034399795,0.839733452,0.11936526,0.00271684,0.003784653
43,South Shore,50768,1467,924,47326,258,793,0.028896155,0.018200441,0.932201387,0.005081941,0.015620076
32,The Loop,35010,21691,2115,4003,6162,1039,0.619565838,0.060411311,0.11433876,0.176006855,0.029677235
3,Uptown,56296,30456,7468,10970,5773,1629,0.540997584,0.132655961,0.194862868,0.10254725,0.028936337
73,Washington Heights,27055,170,324,25981,8,572,0.006283497,0.011975605,0.960303086,0.000295694,0.021142118
40,Washington Park,11868,48,216,11199,14,391,0.004044489,0.018200202,0.943629929,0.001179643,0.032945736
62,West Elsdon,19958,2845,16585,213,310,5,0.142549354,0.83099509,0.010672412,0.015532618,0.000250526
67,West Englewood,30798,244,1890,28249,6,409,0.007922592,0.061367621,0.917234885,0.000194818,0.013280083
26,West Garfield Park,17499,277,363,16713,33,113,0.015829476,0.020744043,0.955083148,0.001885822,0.006457512
65,West Lawn,33595,5008,27169,1154,193,71,0.149069802,0.808721536,0.03435035,0.005744903,0.00211341
53,West Pullman,27582,281,1488,25530,70,213,0.010187804,0.053948227,0.925603655,0.002537887,0.007722428
2,West Ridge,73723,31806,13366,8936,16641,2974,0.431425742,0.181300273,0.121210477,0.225723316,0.040340192
24,West Town,85307,50366,22561,6565,3464,2351,0.590408759,0.264468332,0.076957342,0.040606281,0.027559286
42,Woodlawn,23808,1921,696,20029,663,499,0.080687164,0.029233871,0.841271841,0.027847782,0.020959341
